Kana,Kanji,Type,Definition/s
おなじ,同じ,"adj-na,n","same,identical,equal,similar"
おに,鬼,n,"ogre,demon,""it"" (i.e., in a game of tag)"
おにいさん,お兄さん,n,"(hon) older brother,(vocative) ""Mister?"""
おねえさん,お姉さん,n,"(hon) older sister,(vocative) ""Miss?"""
おねがいします,,hon,please
おのおの,各々,,"each,every,either,respectively,severally"
おば,伯母,n,(hum) aunt (older than one's parent)
おば,叔母,n,aunt (younger than one's parent)
おばあさん,,n,"grandmother,female senior-citizen"
おばさん,伯母さん,n,(hon) aunt
おばさん,叔母さん,n,"(1) aunt,(2) middle-aged lady"
おばさん,小母さん,n,"lady,woman,ma'am"
おはよう,,"int,n",(abbr) Good morning
おび,帯,n-suf,"band (e.g. conduction, valence)"
おひる,お昼,"n-adv,n","lunch,noon"
オフィス,,n,office
おぼえる,覚える,v1,"to remember,to memorize"
おぼれる,溺れる,v1,"to be drowned,to indulge in"
おまいり,お参り,"n,vs","worship,shrine visit"
おまえ,,n,"(fam) you (sing),presence (of a high personage)"
おまたせしました,,,Sorry to have kept you waiting
おまちください,,,Please wait a moment
おまちどおさま,,"exp,int,n",Sorry to have kept you waiting
おまわりさん,,n,policeman (friendly term)
おめでたい,,n,"happy event,matter for congratulation,auspicious event,pregnancy"
おめでとう,,int,"Congratulations!,an auspicious occasion!"
おめにかかる,お目に掛かる,,
おもい,重い,adj,"(1) heavy,massive,(2) serious,important"
おもいがけない,思い掛けない,adj,"unexpected,casual"
おもいきり,思い切り,"adv,n","with all one's strength (heart),resignation,resolution"
おもいこむ,思い込む,v5m,"to be under impression that,to be convinced that"
おもいだす,思い出す,v5s,"to recall,to remember"
おもいっきり,思いっ切り,,
おもいつく,思い付く,v5k,"to think of,to hit upon"
おもいで,思い出,n,"memories,recollections,reminiscence"
おもう,思う,v5u,"to think,to feel"
おもしろい,,adj,"interesting,amusing"
おもたい,重たい,adj,"heavy,massive,serious"
おもちゃ,,n,toy
おもて,表,"n,n-suf","table (e.g. Tab 1),chart,list"
おもに,主に,adv,"mainly,primarily"
おもわず,思わず,adv,"unintentional,spontaneous"
おや,,n,parents
おや,親,n,parents
おやすみ,,n,"(1) holiday,absence,rest,(2) (exp) Good night"
おやつ,,n,"(1) between meal snack,afternoon refreshment"
おやゆび,親指,n,thumb
およぎ,泳ぎ,n,swimming
およぐ,泳ぐ,v5g,to swim
およそ,,"adv,n","about,roughly,as a rule,approximately"
およぼす,及ぼす,v5s,"to exert,to cause,to exercise"
おりる,下りる,v1,"to alight (e.g. from bus),to get off"
おりる,降りる,v1,"to alight (e.g. from bus),to get off"
おる,居る,v5r,"to be (animate),to be,to exist"
おる,折る,v5r,"to break,to fold,to pick flower"
オルガン,,n,organ
おれる,折れる,"v1,vi,vt","to break,to be folded,to give in"
おろす,下す,v5s,"to lower,to let go down"
おろす,降ろす,v5s,"to take down,to launch,to drop"
おろす,卸す,v5s,"to sell wholesale,grated (vegetables)"
おわり,終,n,the end
おわる,終る,io,"(v5r) to finish,to close"
~おわる,~終る,,
おん,音,"n,n-suf","sound,note"
おん,恩,n,"favour,obligation,debt of gratitude"
おんがく,音楽,n,"music,musical movement"
おんけい,恩恵,n,"grace,favor,blessing,benefit"
おんしつ,温室,n,greenhouse
おんせん,温泉,n,"spa,hot spring,onsen"
おんたい,温帯,n,temperate zone
おんだん,温暖,"adj-na,n",warmth
おんちゅう,御中,n,"and Company,Messrs."
おんど,温度,n,temperature
おんな,女,n,"woman,girl,daughter"
おんなのこ,女の子,n,girl
おんなのひと,女の人,,woman
か,可,"n,n-suf",passable
か,蚊,n,mosquito
か,課,"n,n-suf",counter for chapters (of a book)
~か,~日,,
~か,~下,,
~か,~化,,
~か,~科,,
~か,~家,,
~か,~歌,,
が~,画~,,
~が,~画,,
カー,,n,car
カーテン,,n,"curtain,carton"
カード,,n,"card,curd"
カーブ,,n,"(1) curve,(2) curve ball (baseball)"
かい,会,"n,n-suf,vs","meeting,assembly,party,association,club"
かい,回,n,counter for occurrences
かい,貝,n,"shell,shellfish"
~かい,~階,,
がい,害,"n,vs","injury,harm,evil influence,damage"
がい~,外~,,
~がい,~外,,
かいいん,会員,n,"member,the membership"
かいが,絵画,n,picture
かいかい,開会,n,opening of a meeting
かいがい,海外,n,"foreign,abroad,overseas"
かいかん,会館,n,"meeting hall,assembly hall"
かいがん,海岸,n,"coast,beach"
かいぎ,会議,n,"meeting,conference"
かいけい,会計,n,"account,finance,accountant"
かいけつ,解決,"n,vs","settlement,solution,resolution"
かいごう,会合,n,"meeting,assembly"
がいこう,外交,n,diplomacy
がいこく,外国,n,foreign country
かいさつ,改札,"n,vs",examination of tickets
かいさん,解散,"n,vs","breakup,dissolution"
かいし,開始,"n,vs","start,commencement,beginning"
かいしゃ,会社,n,"company,corporation"
かいしゃく,解釈,"n,vs","explanation,interpretation"
がいしゅつ,外出,"n,vs","outing,going out"
かいじょう,会場,n,"assembly hall,meeting place,the grounds"
かいすいよく,海水浴,n,"sea bathing,seawater bath"
かいすう,回数,n,"number of times,frequency"
かいすうけん,回数券,n,book of tickets
かいせい,改正,"n,vs","revision,amendment,alteration"
かいせい,快晴,n,good weather
かいせつ,解説,"n,vs","explanation,commentary"
かいぜん,改善,"n,vs","betterment,improvement"
かいぞう,改造,"n,vs","(1) remodeling,(2) modding (comp)"
かいだん,階段,n,stairs
かいつう,開通,"n,vs","opening,open"
かいてき,快適,"adj-na,n","pleasant,agreeable,comfortable"
かいてん,回転,"n,vs","rotation,revolution,turning"
かいとう,解答,"n,vs","answer,solution"
かいとう,回答,n,"reply,answer"
がいぶ,外部,n,"the outside,external"
かいふく,回復,"n,vs","recovery (from illness),improvement,rehabilitation,restoration"
かいほう,解放,"n,vs","release,liberation,emancipation"
かいほう,開放,"n,vs","open,throw open,liberalization"
かいもの,買い物,n,shopping
かいよう,海洋,n,ocean
がいろん,概論,n,"intro,outline,general remarks"
かいわ,会話,n,conversation
かう,買う,v5u,to buy
かう,飼う,v5u,"to keep,to raise,to feed"
かえす,返す,"v5s,vt",to return something
かえす,帰す,v5s,to send back
かえって,却って,adv,"on the contrary,rather,all the more,instead"
かえり,帰り,n,"return,coming back"
かえる,代える,v1,"to exchange,to interchange,to substitute,to replace"
かえる,替える,v1,"to exchange,to interchange,to substitute,to replace"
かえる,換える,v1,"to exchange,to interchange,to substitute,to replace"
かえる,変える,"v1,vt","to change,to alter,to vary"
かえる,反る,v5r,"to warp,to be warped,to curve"
かえる,帰る,v5r,"to go back,to go home,to come home,to return"
かお,顔,n,face (person)
かおく,家屋,n,"house,building"
かおり,香り,n,"aroma,fragrance,scent,smell"
がか,画家,n,"painter,artist"
かかえる,抱える,v1,to hold or carry under or in the arms
かかく,価格,n,"price,value,cost"
かがく,科学,n,science
かがく,化学,n,chemistry
かがみ,鏡,n,mirror
かがやく,輝く,v5k,"to shine,to glitter,to sparkle"
かかり,係,n,"official,duty,person in charge"
かかる,掛かる,"v5r,vi","to take (e.g. time, money, etc),to hang"
かかる,罹る,v5r,to suffer from
かかわる,係わる,v5r,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)"
かぎ,鍵,n,key
かきとめ,書留,"n,vs","writing down,putting on record,recording,making a note of,registration (of mail)"
かきとり,書取,n,dictation
かきね,垣根,n,hedge
かぎり,限り,"n-adv,n","limit(s),as far as possible,as much as possible,to the best of one's ability"
かぎる,限る,v5r,"to restrict,to limit,to confine"
かく,書く,v5k,to write
かく,掻く,v5k,"to scratch,to perspire"
かく,描く,v5k,"to draw,to paint,to sketch,to depict,to describe"
かく~,各~,,
かぐ,嗅ぐ,"v5g,vt","to sniff,to smell"
かぐ,家具,n,furniture
がく,学,n,"learning,scholarship,erudition,knowledge"
がく,額,n,picture (framed)
かくう,架空,"adj-na,adj-no,n","aerial,overhead,fiction"
かくご,覚悟,"n,vs","resolution,resignation,readiness"
かくじ,各自,"n-adv,n-t","individual,each"
かくじつ,確実,"adj-na,n","certainty,reliability,soundness"
がくしゃ,学者,n,scholar
かくじゅう,拡充,n,expansion
がくしゅう,学習,"n,vs","study,learning"
がくじゅつ,学術,n,"science,learning,scholarship"
かくす,隠す,"v5s,vt","to hide,to conceal"
がくせい,学生,n,student
かくだい,拡大,"n,vs","magnification,enlargement"
かくち,各地,n,"every place,various places"
かくちょう,拡張,"n,vs","expansion,extension,enlargement,escape (ESC)"
かくど,角度,n,angle
かくにん,確認,"n,vs","affirmation,confirmation"
がくねん,学年,n,"year in school,grade in school"
がくぶ,学部,n,"department of a university,undergraduate"
かくべつ,格別,"adj-na,adv,n",exceptional
がくもん,学問,n,"scholarship,study,learning"
かくりつ,確率,n,probability
がくりょく,学力,n,"scholarship,knowledge,literary ability"
かくれる,隠れる,"v1,vi","to hide,to be hidden,to conceal oneself,to disappear"
かげ,影,n,"shade,shadow,other side"
かげ,陰,n,"shade,shadow,other side"
かけざん,掛け算,n,multiplication
かけつ,可決,"n,vs","approval,adoption (e.g. motion, bill),passage"
~かげつ,~ヶ月,,for ~ months
かける,掛ける,"aux-v,v1","(1) to wear,to put on,(2) to sit down,(3) to make a phone call"
かける,欠ける,v1,to be lacking
かげん,加減,n,"addition and subtraction,allowance for"
かこ,過去,"n-adv,n","the past,bygone days,the previous"
かご,籠,n,"basket,cage"
かこう,火口,n,"a burner,origin of a fire"
かこう,下降,n,"downward,descent,fall,drop,subsidence"
かこむ,囲む,v5m,"to surround,to encircle"
かさ,傘,n,"umbrella,parasol"
かさい,火災,n,"conflagration,fire"
かさなる,重なる,v5r,"to be piled up,lie on top of one another,overlap each other"
かさねる,重ねる,v1,"to pile up,to put something on another,to heap up,to add,to repeat"
かざり,飾り,"n,n-suf",decoration
かざる,飾る,v5r,"to decorate,to ornament,to adorn"
かざん,火山,n,volcano
かし,貸し,n,"loan,lending"
かし,菓子,n,pastry
かじ,火事,n,"fire,conflagration"
かじ,家事,n,"housework,domestic chores"
かしこい,賢い,adj,"wise,clever,smart"
かしこまりました,,exp,certainly!
かしだし,貸し出し,"n,vs","lending,loaning"
かしつ,過失,n,"error,blunder,accident"
かじつ,果実,n,"fruit,nut,berry."
かしま,貸間,n,room to let
かしや,貸家,n,house for rent
かしゅ,歌手,n,singer
かしょ,個所,n,"passage,place,point,part"
かじょう,過剰,"adj-na,n","excess,over-"
かじる,,v5r,"to chew,to bite (at),to gnaw,to nibble"
かす,貸す,v5s,to lend
かず,数,"n,n-suf","number,figure"
ガス,,n,gas
かぜ,風,"adj-na,n,n-suf","method,manner,way"
かぜ,風邪,n,"cold (illness),common cold"
かぜい,課税,"n,vs",taxation
かせん,下線,n,"underline,underscore"
かせぐ,稼ぐ,v5g,"to earn income,to labor"
カセット,,n,cassette (tape)
かぞえる,数える,v1,to count
かそく,加速,"n,vs",acceleration
かぞく,家族,n,"family,members of a family"
かそくど,加速度,n,acceleration
ガソリン,,n,"gasoline,petrol"
ガソリンスタンド,,n,"gasoline stand,gas station"
かた,方,"n-adv,n",side
かた,型,n,"mold,model,style,shape,data-type"
かた,肩,n,shoulder
~かた,~方,,
かたい,固い,adj,"stubborn,firm (not viscous or easily moved)"
かたい,堅い,adj,"hard (esp. wood),steadfast,honorable,stuffy writing"
かたい,硬い,adj,"solid,hard (esp. metal, stone),unpolished writing"
かたがた,方々,"adv,conj,n-adv,n-t","persons,this and that,here and there,everywhere"
かたかな,片仮名,n,katakana
かたち,形,n,"form,shape,figure,type"
かたづく,片付く,v5k,"to put in order,to dispose of,to solve"
かたづける,片付ける,v1,"to tidy up,to put in order,to straighten up,to put away"
かたな,刀,n,"sword,saber,knife,engraving tool"
かたまり,塊,n,"lump,mass,clod,cluster"
かたまる,固まる,"v5r,vi","to harden,to solidify,to become firm,to become certain"
かたみち,片道,n,one-way (trip)
かたむく,傾く,v5k,"to incline toward,to slant,to lurch"
かたよる,片寄る,v5r,"to be one-sided,to incline,to be partial"
かたる,語る,v5r,"to talk,to tell,to recite"
かち,勝ち,n,"win,victory"
かち,価値,n,"value,worth,merit"
~がち,,,
かつ,勝つ,v5t,"to win,to gain victory"
~がつ,~月,,
がっか,学科,n,"study subject,course of study"
がっかい,学会,n,"scientific society,academic meeting"
がっかり,,"adv,n,vs","feel disappointed,be dejected,lose heart"
かっき,活気,n,"energy,liveliness"
がっき,楽器,n,musical instrument
がっき,学期,n,term (school)
がっきゅう,学級,n,grade in school
かつぐ,担ぐ,v5g,"to shoulder,to carry on shoulder"
かっこ,括弧,n,"parenthesis,brackets"
かっこう,格好,"adj-no,adj-na,n","shape,form,posture,suitability"
がっこう,学校,n,school
かつじ,活字,n,printing type
かってに,勝手に,,"arbitrarily,of it's own accord,involuntarily"
かつどう,活動,"n,vs","action,activity"
かつやく,活躍,n,activity
かつよう,活用,"n,vs","conjugation,practical use"
かつりょく,活力,n,"vitality,energy"
かてい,仮定,"n,vs","assumption,supposition,hypothesis"
かてい,家庭,n,"home,family,household"
かてい,過程,n,process
かてい,課程,n,"course,curriculum"
かど,角,n,horn
かな,仮名,ok,"(n) alias,pseudonym,pen name"
かない,家内,n,(hum) wife
かなしい,悲しい,adj,"sad,sorrowful"
かなしむ,悲しむ,v5m,"to be sad,to mourn for,to regret"
かなづかい,仮名遣い,n,"kana orthography,syllabary spelling"
かならず,必ず,adv,"necessarily,certainly"
かならずしも,必ずしも,adv,"(not) always,(not) necessarily,(not) all,(not) entirely"
かなり,,"adj-na,adv","considerably,fairly,quite"
かね,金,"n,n-suf","(1) gold,(2) gold general (shogi) (abbr)"
かね,鐘,n,"bell,chime"
かねつ,加熱,"n,vs",heating
かねもち,金持ち,n,rich man
かねる,兼ねる,"suf,v1","to hold (position),to serve,to be unable"
かのう,可能,"adj-na,n","possible,practicable,feasible"
かのじょ,彼女,n,"she,girl friend,sweetheart"
カバー,,n,cover (ex. book)
かばん,,n,"bag,satchel"
かはんすう,過半数,n,majority
（~がはえる）,かび,n,"mold,mildew"
かびん,花瓶,n,(flower) vase
かぶ,株,n,"share,stock,stump (of tree)"
かぶせる,被せる,v1,to cover (with something)
かぶる,被る,v5r,to suffer
かべ,壁,n,wall
かま,釜,n,"iron pot,kettle"
かまいません,,,it doesn't matter
かまう,構う,v5u,"to mind,to care about,to be concerned about"
がまん,我慢,"n,vs","patience,endurance,perseverance"
かみ,上,"n,pref,suf","(1) first volume,(2) superior quality,(3) governmental"
かみ,神,n,god
かみ,髪,n,hair
かみくず,紙屑,n,wastepaper
かみさま,神様,n,god
かみそり,剃刀,n,razor
