Kana,Kanji,Type,Definition/s
うつる,写る,v5r,"to be photographed,to be projected"
うつる,映る,v5r,"to be reflected,to harmonize with,to come out (photo)"
うつる,移る,v5r,"to move (house),to transfer (department)"
うで,腕,n,"(1) arm,(2) skill"
うどん,,n,noodles (Japanese)
うなずく,,v5k,"to nod,to bow one's head in assent"
うなる,,v5r,"to groan,to moan"
うばう,奪う,v5u,to snatch away
うま,馬,n,"(1) horse,(2) promoted bishop (shogi)"
うまい,うまい,adj,delicious
うまれ,生まれ,n,"birth,birth-place"
うまれる,生まれる,v1,to be born
うみ,海,n,"sea,beach"
うむ,有無,n,"yes or no,existence,flag indicator (comp),presence or absence marker"
うめ,梅,n,"plum,plum-tree,lowest (of a three-tier ranking system)"
うめる,埋める,v1,"to bury,to fill up,to fill (a seat, a vacant position)"
うやまう,敬う,v5u,"to show respect,to honour"
うら,裏,n,"reverse side,wrong side,back"
うらがえす,裏返す,v5s,"to turn inside out,to turn (something) over"
うらぎる,裏切る,v5r,"to betray,to turn traitor to,to double-cross"
うらぐち,裏口,n,"backdoor,rear entrance"
うらなう,占う,v5u,"to forecast,to predict"
うらみ,恨み,n,resentment
うらむ,恨む,v5m,"to curse,to feel bitter"
うらやましい,羨ましい,adj,"envious,enviable"
うらやむ,羨む,v5m,to envy
うりあげ,売上,n,"amount sold,proceeds"
うりきれ,売り切れ,n,sold-out
うりきれる,売り切れる,v1,to be sold out
うりば,売り場,"adj-no,n","place where things are sold,salesfloor,counter (in shop)"
うる,売る,v5r,to sell
うるさい,,adj,"noisy,loud,fussy"
うれしい,嬉しい,adj,"happy,glad,pleasant"
うれゆき,売行き,n,sales
うれる,売れる,v1,to be sold
うろうろ,,"adv,n,vs","loiteringly,aimless wandering"
うわ~,上~,,
うわぎ,上着,n,"coat,tunic,jacket,outer garment"
うわさ,噂,n,"rumour,report,gossip,common talk"
（感）,うん,n,"fortune,luck"
うん,運,n,"fortune,luck"
うんが,運河,n,"canal,waterway"
うんてん,運転,"n,vs","operation,motion,driving"
うんと,,,"a great deal,very much"
うんどう,運動,"n,vs","motion,exercise"
え,柄,n,"handle,grip"
え,絵,"n,n-suf","picture,drawing,painting,sketch"
えいえん,永遠,"adj-na,n","eternity,perpetuity,immortality,permanence"
えいが,映画,n,"movie,film"
えいきゅう,永久,"adj-na,n","eternity,perpetuity,immortality"
えいきょう,影響,"n,vs","influence,effect"
えいぎょう,営業,n,"business,trade,management"
えいご,英語,n,the English language
えいせい,衛星,n,satellite
えいぶん,英文,n,sentence in English
えいよう,栄養,n,"nutrition,nourishment"
えいわ,英和,n,English-Japanese (e.g. dictionary)
ええ,,"conj,int,n",yes
ええと,,int,"let me see,well,er...."
えがお,笑顔,n,smiling face
えがく,描く,v5k,"to draw,to paint,to sketch,to depict,to describe"
えき,駅,n,station
えきたい,液体,n,"liquid,fluid"
えさ,餌,n,"feed,bait"
エスカレーター,,n,escalator
えだ,枝,n,"branch,bow,twig,limb"
エチケット,,n,etiquette
エネルギー,,de:,(n) energy (de: Energie)
えのぐ,絵の具,n,"colors,paints"
エプロン,,n,apron
えらい,偉い,adj,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent"
えらぶ,選ぶ,v5b,"to choose,to select"
える,得る,v1,"to get,to gain,to win"
うる,得る,v1,"to get,to gain,to win"
エレベーター,,n,elevator
えん,円,n,"circle,money"
~えん,~円,,~ yen
~えん,~園,,~ garden (especially man made)
えんかい,宴会,n,"party,banquet"
えんき,延期,"n,vs","postponement,adjournment"
えんぎ,演技,n,"acting,performance"
えんげい,園芸,n,"horticulture,gardening"
えんげき,演劇,n,play (theatrical)
えんしゅう,円周,n,circumference
えんじょ,援助,"n,vs","assistance,aid,support"
エンジン,,n,engine
えんぜつ,演説,n,"speech,address"
えんそう,演奏,"n,vs",musical performance
えんそく,遠足,n,"trip,hike,picnic"
えんちょう,延長,"n,vs","extension,elongation,prolongation,lengthening"
えんとつ,煙突,n,chimney
えんぴつ,鉛筆,n,pencil
えんりょ,遠慮,"adj-na,n,vs","diffidence,restraint,reserve"
お,御,pref,honourable
おん~,御~,,
おい,老い,n,"old age,old person,the old,the aged"
おいかける,追い掛ける,v1,"to chase or run after someone,to run down,to pursue"
おいこす,追い越す,v5s,"to pass (e.g. car),to outdistance,to outstrip"
おいしい,,adj,"delicious,tasty"
おいつく,追い付く,v5k,"to overtake,to catch up (with)"
おいでになる,,v5r,to be
オイル,,n,"oil,engine oil,kerosene"
おう,王,"n,n-suf","king,ruler,sovereign,monarch"
おう,追う,v5u,"to chase,to run after"
おうえん,応援,"n,vs","aid,assistance,help,reinforcement"
おうさま,王様,n,king
おうじ,王子,n,prince
おうじょ,王女,n,princess
おうじる,応じる,v1,"to respond,to satisfy,to accept,to comply with,to apply for"
おうずる,応ずる,v5z,"to answer,to respond,to meet,to satisfy,to accept"
おうせつ,応接,n,reception
おうたい,応対,"n,vs","receiving,dealing with"
